,Heartrate,TotalSteps,sleepMin,Label
744,78.86563877,12480,538,LowA
745,77.53271028,12480,538,Low
746,78.03282828,12480,538,LowA
747,88.15384615,12480,538,LowA
748,68.10309278,12480,538,Low
749,68.36141304,12480,538,Low
750,66.76854599,12480,538,Low
751,81.35501355,2121,462,Meduim
752,77.76265823,2121,462,Meduim
753,69.86956522,2121,462,Meduim
754,66.74,2121,462,Meduim
755,67.86461538,2121,462,Meduim
756,67.88650307,2121,462,Meduim
757,71.48093842,2121,462,Meduim
758,67.36778116,2121,462,Meduim
759,71.5339233,2121,462,Meduim
760,66.58092486,2121,462,Meduim
761,72.70588235,2121,462,Meduim
762,83.19294118,2121,462,Meduim
763,77.18559557,2121,462,Meduim
764,75.98143236,2121,462,Meduim
765,76.02666667,2121,462,Meduim
766,77.49081365,2121,462,Meduim
767,74.06633907,2121,462,Meduim
768,90.68286445,2121,462,Meduim
769,92.34663342,2121,462,Meduim
770,90.26179245,2121,462,Meduim
771,89.77260274,2121,462,Meduim
772,75.0625,2121,462,Meduim
773,71.36585366,2121,462,Meduim
774,81.4622093,2121,462,Meduim
775,57.06666667,15444,405,Low
776,57.91582492,15444,405,Low
777,56.24683544,15444,405,Low
778,57.55033557,15444,405,Low
779,55.9579288,15444,405,Low
780,56.77181208,15444,405,Low
781,67.0,15444,405,Low
782,72.76309795,15444,405,Low
783,68.02132701,15444,405,Low
784,63.98016997,15444,405,Low
785,61.99483204,15444,405,Low
786,62.38095238,15444,405,Low
787,66.39860139999999,15444,405,Low
788,103.3860435,15444,405,LowA
789,74.65526676,15444,405,Low
790,72.89784946,15444,405,Low
791,79.92407809,15444,405,LowA
792,68.77142857,15444,405,Low
793,66.47928994,15444,405,Low
794,72.33846154,15444,405,Low
795,75.89277899,15444,405,Low
796,74.14495798,15444,405,Low
797,72.21012658,15444,405,Low
798,65.21558442,15444,405,Low
799,52.47447447,4499,450,Meduim
800,51.75079872,4499,450,Meduim
801,51.80333333,4499,450,Meduim
802,53.94,4499,450,Meduim
803,47.10703364,4499,450,Meduim
804,48.56069364,4499,450,Meduim
805,101.4191781,4499,450,LowA
806,71.32722513,4499,450,Meduim
807,62.140804599999996,4499,450,Meduim
808,56.75277778,4499,450,Meduim
809,54.64469914,4499,450,Meduim
810,54.45930233,4499,450,Meduim
811,52.6686217,4499,450,Meduim
812,53.67597765,4499,450,Meduim
813,63.59020619,4499,450,Meduim
814,68.31413613,4499,450,Meduim
815,69.58536585,4499,450,Meduim
816,69.03953488,4499,450,Meduim
817,65.79240506,4499,450,Meduim
818,59.91922006,4499,450,Meduim
819,71.81364829,4499,450,Meduim
820,56.00903614,4499,450,Meduim
821,49.725,4499,450,Meduim
822,52.49560117,4499,450,Meduim
823,74.11173184,4853,617,Meduim
824,76.7523511,4853,617,Meduim
825,70.27272727,4853,617,Meduim
826,68.56936416,4853,617,Meduim
827,68.36285714,4853,617,Meduim
828,65.31666667,4853,617,Meduim
829,63.39143731,4853,617,Meduim
830,63.52321981,4853,617,Meduim
831,74.50531915,4853,617,Meduim
832,90.07424594,4853,617,Meduim
833,76.81894150000001,4853,617,Meduim
834,93.5675,4853,617,LowA
